email_id,spf_result,dmarc_result,user_marked_as_spam_before,image_only_email,url_count,url_reputation_score,total_links_detected,sender_domain_reputation_score,smtp_ip_reputation_score,return_path_reputation_score,content_spam_score,marketing_keywords_detected,bulk_message_indicator,unsubscribe_link_present,html_text_ratio,result
test-s1-00066,fail,fail,0,False,0,1.0,0,0.0,0.5,1.0,0.9062,0.2145454545454545,0,0,1.0,Not-Spam
test-s1-00067,neutral,none,0,False,0,1.0,0,0.0,0.5,0.92,0.9062,0.2141560798548094,0,0,1.0,Spam
test-s1-00068,pass,fail,0,False,0,1.0,0,0.0,0.38,0.0,0.9843,0.2977930639151619,0,0,1.0,Spam
test-s1-00069,fail,pass,0,False,0,1.0,0,0.0,0.28,0.85,0.9716,0.5099526066350711,0,1,1.0,Spam
test-s1-00072,pass,none,0,False,2,0.15,2,0.0,0.38,1.0,0.99,0.7203947368421053,0,0,1.0,Spam
test-s1-00073,fail,none,0,False,0,1.0,0,0.0,0.5,0.0,0.8997,0.213381555153707,0,0,1.0,Spam
test-s1-00080,fail,fail,0,False,1,0.78,1,0.0,0.38,0.0,0.7766,0.3224009900990099,0,0,1.0,Spam
test-s1-00084,neutral,fail,0,False,0,1.0,0,0.0,0.38,0.0,0.9987,0.3900990099009901,0,0,1.0,Spam
test-s1-00093,pass,none,0,False,0,1.0,0,0.0,0.38,0.0,0.5865,0.7630208333333333,0,0,1.0,Spam
test-s1-00104,pass,none,0,False,3,0.63,3,0.85,0.28,1.0,0.9704,0.5110619469026549,0,0,1.0,Spam
test-s1-00106,fail,none,0,False,2,0.77,2,0.0,0.28,0.0,0.5578,0.3725,0,0,1.0,Spam
test-s1-00108,fail,pass,0,False,0,1.0,0,0.0,0.38,0.0,0.082,0.421875,0,0,1.0,Not-Spam
test-s1-00119,none,fail,0,False,0,1.0,0,0.0,0.55,1.0,0.9718,0.2365145228215767,0,0,1.0,Not-Spam
test-s1-00121,fail,none,0,False,0,1.0,0,0.0,0.38,1.0,0.9751,0.2365145228215767,0,0,1.0,Spam
test-s1-00124,pass,fail,0,False,1,0.63,1,0.0,0.28,0.13,0.9945,0.7280334728033472,0,0,1.0,Spam
test-s1-00132,fail,none,0,False,0,1.0,0,0.0,0.38,0.0,0.6662,0.7454068241469816,0,0,1.0,Spam
test-s1-00135,neutral,pass,0,False,3,0.15,3,0.0,0.28,1.0,0.4085,0.469090909090909,0,0,1.0,Spam
test-s1-00139,fail,pass,0,False,1,0.77,1,1.0,0.38,1.0,0.0112,0.2368045649072753,0,0,1.0,Not-Spam
test-s1-00140,neutral,pass,0,False,0,1.0,0,0.0,0.4,0.9,0.2689,0.2508038585209003,0,0,1.0,Not-Spam
test-s1-00142,neutral,pass,0,False,3,0.35,3,0.0,0.28,1.0,0.8639,0.5320665083135392,0,0,1.0,Spam
test-s1-00144,none,fail,0,False,0,1.0,0,0.0,0.4,0.9,0.715,0.5078299776286354,0,1,1.0,Not-Spam
test-s1-00149,none,fail,0,False,3,0.15,3,0.0,0.55,0.0,0.8953,0.1768707482993197,0,0,1.0,Spam
test-s1-00152,pass,none,0,False,2,0.15,2,0.0,0.55,0.0,0.9332,0.6877076411960132,0,0,1.0,Spam
test-s1-00158,none,fail,0,False,0,1.0,0,0.0,0.38,0.08,0.4733,0.0,0,0,1.0,Spam
test-s1-00166,pass,fail,0,False,3,0.35,3,0.0,0.5,0.85,0.018,0.2668918918918919,0,0,1.0,Not-Spam
test-s1-00192,neutral,none,0,False,0,1.0,0,0.0,0.38,1.0,0.6897,0.2632743362831858,0,0,1.0,Spam
test-s1-00194,none,none,0,False,0,1.0,0,0.0,0.0,1.0,0.3997,0.345926800472255,0,0,1.0,Not-Spam
test-s1-00195,none,fail,0,False,1,0.15,1,0.0,0.55,1.0,0.2978,0.2121212121212121,0,0,1.0,Not-Spam
test-s1-00197,neutral,pass,0,False,3,0.15,3,0.0,0.38,0.85,0.9743,0.4493006993006992,0,0,1.0,Spam
test-s1-00209,none,fail,0,False,0,1.0,0,0.0,0.55,0.0,0.4085,0.3376623376623376,0,0,1.0,Spam
test-s1-00211,pass,none,0,False,0,1.0,0,0.0,0.55,0.9,0.1721,0.4043715846994536,0,0,1.0,Not-Spam
test-s1-00212,neutral,none,0,False,0,1.0,0,0.0,0.55,0.9,0.1422,0.4043715846994536,0,0,1.0,Not-Spam
